session_name,ID,trial_round,time_end,total_distance,mean_velocity,incorrect_entries,time_to_decision_zone_1,time_to_correct_zone_1,time_to_incorrect_zone_1,time_to_decision_zone_2,time_to_incorrect_zone_2,time_to_correct_zone_2,group,tank,frame_rate,pixels_per_cm,cam,batch,day,link,orientation,jar_ID,treatment,sex,Notes,std_length,unique_id,tanks3&4_release,tanks1&2_release,start,wrong_start,missing_fish
cam1-b1-d2-t1_edit_tank4,cam1-b1-d2 4,1,16.26,46.065423174267565,2.8330518557360125,1,65.14,4.98,NA,5.98,10.600000000000001,20.46,cam1-b1-d2,4,50,16.899789758061818,1,1,2,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d2-t1,3256,3404,3466,NA,NA
cam1-b1-d2-t2_edit_tank1,cam1-b1-d2 1,2,21.96,63.50903539500696,2.892032577186109,1,4.5,8.08,NA,9.780000000000001,13.14,23.5,cam1-b1-d2,1,50,16.899789758061818,1,1,2,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d2-t2,2944,3089,3166,NA,NA
cam1-b1-d2-t2_edit_tank2,cam1-b1-d2 2,2,96.64,68.93264915692242,0.7132931411105383,0,81.06,86.9,NA,89.88000000000001,NA,98.18,cam1-b1-d2,2,50,16.899789758061818,1,1,2,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d2-t2,2944,3089,3166,NA,NA
cam1-b1-d2-t2_edit_tank3,cam1-b1-d2 3,2,104.06,166.2609554570409,1.5977412594372562,3,58.900000000000006,44.239999999999995,21.1,48.699999999999996,54.699999999999996,108.5,cam1-b1-d2,3,50,16.899789758061818,1,1,2,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d2-t2,2944,3089,3166,NA,NA
cam1-b1-d2-t2_edit_tank4,cam1-b1-d2 4,2,92.86,202.72862303698557,2.1831641507321295,4,58.900000000000006,11.24,4.9,12.64,15.940000000000001,97.3,cam1-b1-d2,4,50,16.899789758061818,1,1,2,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d2-t2,2944,3089,3166,NA,NA
cam1-b1-d2-t3_edit_tank1,cam1-b1-d2 1,3,28,81.01529693594323,2.8934034619979725,0,4.0600000000000005,13.18,NA,20.36,NA,28.98,cam1-b1-d2,1,50,16.899789758061818,1,1,2,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d2-t3,3016,3145,3194,NA,NA
cam1-b1-d2-t3_edit_tank2,cam1-b1-d2 2,3,85.18,82.01609579159384,0.9628562548907471,0,67.94,75.78,NA,77.82000000000001,NA,86.16000000000001,cam1-b1-d2,2,50,16.899789758061818,1,1,2,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d2-t3,3016,3145,3194,NA,NA
cam1-b1-d2-t3_edit_tank3,cam1-b1-d2 3,3,47.3,103.19931305269964,2.181803658619443,1,60.34,7.08,NA,11.860000000000001,27.599999999999998,50.86,cam1-b1-d2,3,50,16.899789758061818,1,1,2,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d2-t3,3016,3145,3194,NA,NA
cam1-b1-d2-t3_edit_tank4,cam1-b1-d2 4,3,39.88,114.9687710256518,2.8828678792791322,1,62.42,6.859999999999999,18.28,8.18,NA,43.440000000000005,cam1-b1-d2,4,50,16.899789758061818,1,1,2,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d2-t3,3016,3145,3194,NA,NA
cam1-b1-d3-t1_edit_tank1,cam1-b1-d3 1,1,48.82,106.41875214607292,2.1798187657942014,1,2.3600000000000003,45.68,6.88,47.480000000000004,NA,50.06,cam1-b1-d3,1,50,16.899789758061818,1,1,3,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d3-t1,3138,3295,3357,3,NA
cam1-b1-d3-t1_edit_tank2,cam1-b1-d3 2,1,71.82,109.7931421084472,1.5287265679260262,1,40.940000000000005,44.300000000000004,NA,47.120000000000005,53.78,73.05999999999999,cam1-b1-d3,2,50,16.899789758061818,1,1,3,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d3-t1,3138,3295,3357,3,NA
cam1-b1-d3-t1_edit_tank4,cam1-b1-d3 4,1,21.04,31.106865149331544,1.4784631724967465,0,76.24,19.88,NA,22.32,NA,25.419999999999998,cam1-b1-d3,4,50,16.899789758061818,1,1,3,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d3-t1,3138,3295,3357,3,NA
cam1-b1-d3-t2_edit_tank1,cam1-b1-d3 1,2,40.5,143.46030558687016,3.542229767577041,4,1.26,1.24,3.76,26.259999999999998,29.08,41.72,cam1-b1-d3,1,50,16.899789758061818,1,1,3,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d3-t2,2473,2632,2693,NA,NA
cam1-b1-d3-t2_edit_tank2,cam1-b1-d3 2,2,72.74,80.43072444292274,1.1057289585224463,0,45.1,58.68,NA,61.26,NA,73.96,cam1-b1-d3,2,50,16.899789758061818,1,1,3,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d3-t2,2473,2632,2693,NA,NA
cam1-b1-d3-t2_edit_tank3,cam1-b1-d3 3,2,394.26,463.518969888771,1.1756682643148455,10,49.480000000000004,121.52000000000001,5.54,128.35999999999999,143.02,398.65999999999997,cam1-b1-d3,3,50,16.899789758061818,1,1,3,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d3-t2,2473,2632,2693,NA,NA
cam1-b1-d3-t2_edit_tank4,cam1-b1-d3 4,2,5.76,20.403306081575884,3.54224063916248,0,49.64,5.82,NA,7.68,NA,10.16,cam1-b1-d3,4,50,16.899789758061818,1,1,3,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d3-t2,2473,2632,2693,NA,NA
cam1-b1-d3-t3_edit_tank1,cam1-b1-d3 1,3,96.68,171.48262309137118,1.7737135197700782,5,3.62,83.34,4.82,86.8,90.5,97.98,cam1-b1-d3,1,50,16.899789758061818,1,1,3,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d3-t3,2650,2770,2835,NA,NA
cam1-b1-d3-t3_edit_tank2,cam1-b1-d3 2,3,66,115.29745361790138,1.7469311154227483,2,22.68,43.68,25.86,46.3,49.8,67.3,cam1-b1-d3,2,50,16.899789758061818,1,1,3,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d3-t3,2650,2770,2835,NA,NA
cam1-b1-d3-t3_edit_tank3,cam1-b1-d3 3,3,85.08,153.40317879059745,1.8030462951410138,1,77.6,32.800000000000004,NA,34.94,65.46,88.78,cam1-b1-d3,3,50,16.899789758061818,1,1,3,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d3-t3,2650,2770,2835,NA,NA
cam1-b1-d3-t3_edit_tank4,cam1-b1-d3 4,3,37.84,123.067941199524,3.2523240274715643,3,53.16,3.72,5.6,23.939999999999998,27.04,41.540000000000006,cam1-b1-d3,4,50,16.899789758061818,1,1,3,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d3-t3,2650,2770,2835,NA,NA
cam1-b1-d4-t1_edit_tank1,cam1-b1-d4 1,1,11.92,62.76013670733404,5.265112139877017,0,2.56,6.84,NA,7.7,NA,13.18,cam1-b1-d4,1,50,16.899789758061818,1,1,4,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d4-t1,2323,2453,2516,NA,NA
cam1-b1-d4-t1_edit_tank2,cam1-b1-d4 2,1,74.5,103.44047365055667,1.388462733564519,1,41.36,51.32,NA,53.839999999999996,60.72,75.76,cam1-b1-d4,2,50,16.899789758061818,1,1,4,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d4-t1,2323,2453,2516,NA,NA
cam1-b1-d4-t1_edit_tank3,cam1-b1-d4 3,1,231,304.4680059152849,1.318043315650584,5,77.22,160.3,37.62,163.94000000000003,175.04000000000002,234.86,cam1-b1-d4,3,50,16.899789758061818,1,1,4,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d4-t1,2323,2453,2516,NA,NA
cam1-b1-d4-t1_edit_tank4,cam1-b1-d4 4,1,21.68,72.30875603920676,3.3352747250556622,1,47.660000000000004,18.6,7.699999999999999,20.5,NA,25.54,cam1-b1-d4,4,50,16.899789758061818,1,1,4,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d4-t1,2323,2453,2516,NA,NA
cam1-b1-d4-t2_edit_tank1,cam1-b1-d4 1,2,65.5,192.4894966099015,2.9387709406091833,6,2,1.48,5.42,25.040000000000003,27.52,66.94,cam1-b1-d4,1,50,16.899789758061818,1,1,4,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d4-t2,2221,2339,2411,NA,NA
cam1-b1-d4-t2_edit_tank2,cam1-b1-d4 2,2,58.04,74.8398472499405,1.289452916091325,0,46.699999999999996,50.66,NA,54.199999999999996,NA,59.48,cam1-b1-d4,2,50,16.899789758061818,1,1,4,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d4-t2,2221,2339,2411,NA,NA
